"target","repository","number","title","status","comments","created_at","updated_at","html_url"
"cilium/cilium.io","cilium/cilium.io","892","fix: resolve layout overflow at 1280px viewportFix 1280px layout","MERGED","4","2026-01-31T21:26:55Z","2026-02-01T13:29:03Z","https://github.com/cilium/cilium.io/pull/892"
"cilium/cilium.io","cilium/cilium.io","891","refactor: standardize carousel by removing react-slick","OTHER","7","2026-01-31T20:59:50Z","2026-03-18T09:55:29Z","https://github.com/cilium/cilium.io/pull/891"
"OpenScienceLabs/opensciencelabs.github.io","OpenScienceLabs/opensciencelabs.github.io","271","dx: add ?Edit this page on GitHub? links #265","OPEN","1","2026-03-17T18:49:30Z","2026-03-17T19:01:45Z","https://github.com/OpenScienceLabs/opensciencelabs.github.io/pull/271"
"OpenScienceLabs/opensciencelabs.github.io","OpenScienceLabs/opensciencelabs.github.io","268","perf: improve blog and homepage image performance (lazy-loading, responsive, docs) #264","MERGED","10","2026-03-14T20:38:20Z","2026-03-20T13:10:57Z","https://github.com/OpenScienceLabs/opensciencelabs.github.io/pull/268"
"OpenScienceLabs/opensciencelabs.github.io","OpenScienceLabs/opensciencelabs.github.io","263","feat: migrate blog posts from ipynb/md to qmd format","OPEN","9","2026-03-03T19:46:02Z","2026-03-14T20:37:03Z","https://github.com/OpenScienceLabs/opensciencelabs.github.io/pull/263"
"mllam/neural-lam","mllam/neural-lam","614","Modernize linting stack: migrate to Ruff and streamline pre-commit hooks","OPEN","3","2026-04-20T17:55:22Z","2026-04-24T12:39:22Z","https://github.com/mllam/neural-lam/pull/614"
"mllam/neural-lam","mllam/neural-lam","591","test: match edge_index length to feature rows in graph artifacts","OPEN","2","2026-04-11T22:28:12Z","2026-04-15T05:17:37Z","https://github.com/mllam/neural-lam/pull/591"
"mllam/neural-lam","mllam/neural-lam","539","Document graph/*.pt layout in README and fix Graph creation CLI typo","OPEN","0","2026-03-29T10:21:12Z","2026-04-13T02:34:09Z","https://github.com/mllam/neural-lam/pull/539"
"mllam/neural-lam","mllam/neural-lam","538","Add graph edge index bounds checks in graph creation tests","OPEN","0","2026-03-29T09:11:01Z","2026-04-13T02:34:18Z","https://github.com/mllam/neural-lam/pull/538"
"mllam/neural-lam","mllam/neural-lam","491","Save graph generation config in graph output directory","OTHER","1","2026-03-22T14:30:53Z","2026-03-22T18:09:12Z","https://github.com/mllam/neural-lam/pull/491"
"mllam/neural-lam","mllam/neural-lam","427","Add a small CLI to validate generated graph files","OTHER","3","2026-03-18T08:31:44Z","2026-03-22T18:16:39Z","https://github.com/mllam/neural-lam/pull/427"
"mllam/neural-lam","mllam/neural-lam","396","Add edge-count consistency checks in test_graph_creation","OTHER","5","2026-03-13T18:57:59Z","2026-03-22T18:24:37Z","https://github.com/mllam/neural-lam/pull/396"
"mllam/neural-lam","mllam/neural-lam","383","Visualize directed edge directions in plot_graph (#381)","OTHER","17","2026-03-11T21:09:23Z","2026-04-13T09:53:03Z","https://github.com/mllam/neural-lam/pull/383"
"mllam/neural-lam","mllam/neural-lam","379","Add unit tests for get_integer_time","OTHER","2","2026-03-11T18:35:00Z","2026-03-12T07:20:02Z","https://github.com/mllam/neural-lam/pull/379"
"mllam/neural-lam","mllam/neural-lam","296","Add comprehensive test coverage for metrics module including reductio?","OPEN","3","2026-03-01T07:21:22Z","2026-04-13T02:34:41Z","https://github.com/mllam/neural-lam/pull/296"
"llm4s/llm4s","llm4s/llm4s","878","[FEATURE] LLM4S governance: prompt/model catalog + CI policy checks","OPEN","3","2026-03-20T18:42:37Z","2026-03-28T15:31:45Z","https://github.com/llm4s/llm4s/pull/878"
"llm4s/llm4s","llm4s/llm4s","861","[ENHANCEMENT] Add CI policy-as-code checks for provider/model configuration (#847)","OTHER","3","2026-03-14T20:53:52Z","2026-03-28T01:19:04Z","https://github.com/llm4s/llm4s/pull/861"
"llm4s/llm4s","llm4s/llm4s","857","[ENHANCEMENT] Add CI/CD template for staged deployments (dev -> stagi?","OPEN","3","2026-03-14T17:01:50Z","2026-03-16T20:32:11Z","https://github.com/llm4s/llm4s/pull/857"
"llm4s/llm4s","llm4s/llm4s","844","[BUG FIX] Add StreamingWithToolsExample for OpenAI streaming with tools (#843)","MERGED","2","2026-03-10T11:39:01Z","2026-03-14T16:10:52Z","https://github.com/llm4s/llm4s/pull/844"
"llm4s/llm4s","llm4s/llm4s","842","[ENHANCEMENT] Add TruffleHog secret scan workflow","OPEN","3","2026-03-10T07:23:33Z","2026-03-16T20:33:34Z","https://github.com/llm4s/llm4s/pull/842"
"c2siorg/tensormap","c2siorg/tensormap","275","feat(training): add structured Socket.IO event contract for run-scoped progress","OPEN","2","2026-03-31T11:29:54Z","2026-04-14T00:16:28Z","https://github.com/c2siorg/tensormap/pull/275"
"c2siorg/tensormap","c2siorg/tensormap","273","feat(backend): add backend-driven layer schema endpoint for canvas/compiler syn","OPEN","2","2026-03-31T08:07:39Z","2026-04-14T00:15:24Z","https://github.com/c2siorg/tensormap/pull/273"
"c2siorg/tensormap","c2siorg/tensormap","272","fix: support customdropout in backend model generation","OTHER","4","2026-03-31T07:11:15Z","2026-04-23T18:41:09Z","https://github.com/c2siorg/tensormap/pull/272"
